State,Population,Rape Cases,Year,Kidnapping Cases,Rape_rate,Kidnap_rate,Rape_norm,Kidnap_norm
Sikkim,610577,13,2022,46,2.129133590030414,7.533857318569157,2.1310312155851885,2.4470109642051456
Tamil Nadu,72147030,331,2018,2489,0.4587853443170148,3.4498994622509063,0.2837881711890931,1.0876440124160576
Tamil Nadu,72147030,362,2019,898,0.5017531560204211,1.2446804809567351,0.33130640069945433,0.35362522228785337
Tamil Nadu,72147030,389,2020,765,0.5391767339556458,1.0603347081647019,0.37269324575686547,0.2922647577453951
Tamil Nadu,72147030,422,2021,821,0.5849166625431428,1.1379539809192423,0.4232771674937014,0.3181007428159039
Tamil Nadu,72147030,421,2022,737,0.5835306041010975,1.021525071787432,0.421744321380464,0.2793467652101408
Telangana,35193978,606,2018,2096,1.7218854884776027,5.955564329783919,1.6806543406625303,1.9216678033113994
Telangana,35193978,873,2019,2127,2.4805380056781305,6.043647580844654,2.519650393796184,1.9509867788519673
Telangana,35193978,764,2020,2056,2.1708259293678025,5.8419085219636155,2.177138896449486,1.8838368671300216
Telangana,35193978,823,2021,2760,2.338468245902751,7.842250739600963,2.362535028040818,2.5496613439222733
Telangana,35193978,814,2022,2981,2.312895689143182,8.470199077808141,2.3342542622048517,2.758677266324386
Tripura,3673917,97,2018,166,2.6402338430617784,4.5183383293634565,2.6962584906903504,1.44327953488179
Tripura,3673917,88,2019,166,2.3952636926746034,4.5183383293634565,2.425345279898127,1.44327953488179
Tripura,3673917,79,2020,127,2.150293542287428,3.4568010110190297,2.1544320691059036,1.0899412293907706
Tripura,3673917,61,2021,136,1.660353241513077,3.701771161406205,1.6126056475214563,1.1714808383502366
Tripura,3673917,62,2022,105,1.6875721471116523,2.8579850878503787,1.6427071153872588,0.8906221852676316
Uttar Pradesh,199812341,3946,2018,19679,1.9748529946906532,9.848741024459544,1.9604118508161719,3.2175322373750186
Uttar Pradesh,199812341,3065,2019,16590,1.533939287563825,8.302790466781028,1.472804083538234,2.7029544255700184
Uttar Pradesh,199812341,2769,2020,12913,1.38580028948262,6.462563791292551,1.30897672926551,2.0904252530200065
Uttar Pradesh,199812341,2845,2021,14554,1.4238359781791456,7.283834385384634,1.3510405094166147,2.363789509793074
Uttar Pradesh,199812341,3690,2022,16263,1.8467327801339357,8.139136911468347,1.8187233282019242,2.6484814749516197
Uttarakhand,10086292,561,2018,1379,5.562004352045331,13.672021392995562,5.9274531016897924,4.490131309956356
Uttarakhand,10086292,526,2019,967,5.2149987329337675,9.587269533739455,5.5436985655233375,3.1305000700939525
Uttarakhand,10086292,487,2020,768,4.828335328780884,7.614294727933714,5.116086368080719,2.473784980937112
Uttarakhand,10086292,534,2021,819,5.294314303016411,8.119931487210563,5.63141388807567,2.6420888480074582
Uttarakhand,10086292,867,2022,1169,8.595824907706419,11.589987678326187,9.2825641893165,3.7971153867255185
West Bengal,91276115,1069,2018,8339,1.1711716696092949,9.13601548444519,1.0716183064295568,2.980297775395291
West Bengal,91276115,1069,2019,5190,1.1711716696092949,5.686043933837456,1.0716183064295568,1.8319565153959492
West Bengal,91276115,1128,2020,9309,1.2358107046953084,10.198725044333887,1.1431028057042076,3.334026267678353
West Bengal,91276115,1123,2021,8339,1.2303328203659851,9.13601548444519,1.1370447972911015,2.980297775395291
West Bengal,91276115,1111,2022,8088,1.2171858979756094,8.861025691113168,1.122505577099647,2.8887659696601897
